timestamp,frame,a0,a1,a2,a3,a4,a5
1746299054.0302,19,41.4,0.0,90.0,90.0,90.0,90.0
1746299054.079367,20,39.4,25.7,90.0,90.0,90.0,90.0
1746299054.1447198,21,44.7,46.3,90.0,90.0,90.0,90.0
1746299054.20946,22,52.3,64.2,90.0,90.0,90.0,90.0
1746299054.280802,23,54.8,71.1,90.0,90.0,90.0,90.0
1746299054.344586,24,55.0,74.1,90.0,90.0,90.0,90.0
1746299054.4108002,25,54.8,73.5,90.0,90.0,90.0,90.0
1746299054.4811049,26,53.3,71.9,90.0,90.0,90.0,90.0
1746299054.544379,27,52.4,68.1,90.0,90.0,90.0,90.0
1746299054.612426,28,50.1,64.9,90.0,90.0,90.0,90.0
1746299054.6911528,29,46.8,60.5,90.0,90.0,90.0,90.0
1746299054.7555299,30,44.3,57.2,90.0,90.0,90.0,90.0
1746299054.819066,31,42.8,54.7,90.0,90.0,90.0,90.0
1746299054.883496,32,42.7,53.6,90.0,90.0,90.0,90.0
1746299054.949452,33,43.0,54.3,90.0,90.0,90.0,90.0
1746299055.013483,34,44.5,56.7,90.0,90.0,90.0,90.0
1746299055.082059,35,45.9,58.5,90.0,90.0,90.0,90.0
1746299055.141048,36,48.2,57.8,90.0,90.0,90.0,90.0
1746299055.20468,37,50.9,57.4,90.0,90.0,90.0,90.0
1746299055.240312,38,51.7,57.3,90.0,90.0,90.0,90.0
1746299055.3110049,39,54.4,57.4,90.0,90.0,90.0,90.0
1746299055.343754,40,55.4,57.0,90.0,90.0,90.0,90.0
1746299055.410321,41,57.7,55.7,90.0,90.0,90.0,90.0
1746299055.4786618,42,59.0,53.0,90.0,90.0,90.0,90.0
1746299055.546047,43,60.0,50.6,90.0,90.0,90.0,90.0
1746299055.61131,44,60.6,49.1,90.0,90.0,90.0,90.0
1746299055.678166,45,61.6,47.1,90.0,90.0,90.0,90.0
1746299055.749023,46,62.3,46.8,90.0,90.0,90.0,90.0
1746299055.8128471,47,62.8,48.0,90.0,90.0,90.0,90.0
1746299055.881498,48,63.0,50.0,90.0,90.0,90.0,90.0
1746299055.9494221,49,61.3,50.2,90.0,90.0,90.0,90.0
1746299056.016778,50,59.2,48.2,90.0,90.0,90.0,90.0
1746299056.082549,51,57.7,45.3,90.0,90.0,90.0,90.0
1746299056.152533,52,56.3,43.1,90.0,90.0,90.0,90.0
1746299056.213923,53,54.6,41.8,90.0,90.0,90.0,90.0
1746299056.2787251,54,52.4,40.2,90.0,90.0,90.0,90.0
1746299056.346973,55,48.5,36.9,90.0,90.0,90.0,90.0
1746299056.411241,56,45.3,34.1,90.0,90.0,90.0,90.0
1746299056.4786391,57,41.5,31.4,90.0,90.0,90.0,90.0
1746299056.548238,58,38.2,30.8,90.0,90.0,90.0,90.0
1746299056.612864,59,35.4,29.6,90.0,90.0,90.0,90.0
1746299056.678617,60,34.7,29.0,90.0,90.0,90.0,90.0
1746299056.7491982,61,34.6,29.2,90.0,90.0,90.0,90.0
1746299056.814538,62,35.2,29.3,90.0,90.0,90.0,90.0
1746299056.878214,63,36.9,30.8,90.0,90.0,90.0,90.0
1746299056.917407,64,37.8,32.3,90.0,90.0,90.0,90.0
1746299056.98311,65,40.1,35.2,90.0,90.0,90.0,90.0
1746299057.049033,66,42.2,37.9,90.0,90.0,90.0,90.0
1746299057.116304,67,44.7,40.5,90.0,90.0,90.0,90.0
1746299057.185167,68,47.3,40.8,90.0,90.0,90.0,90.0
1746299057.244917,69,49.5,42.5,90.0,90.0,90.0,90.0
1746299057.3175209,70,51.0,43.8,90.0,90.0,90.0,90.0
1746299057.382721,71,52.3,47.4,90.0,90.0,90.0,90.0
1746299057.4457018,72,52.6,50.6,90.0,90.0,90.0,90.0
1746299057.518193,73,53.0,52.7,90.0,90.0,90.0,90.0
1746299057.5867798,74,52.9,55.1,90.0,90.0,90.0,90.0
1746299057.644722,75,53.3,56.2,90.0,90.0,90.0,90.0
1746299057.7162209,76,53.2,56.4,90.0,90.0,90.0,90.0
1746299057.780454,77,53.0,55.7,90.0,90.0,90.0,90.0
1746299057.846312,78,51.6,52.0,90.0,90.0,90.0,90.0
1746299057.917834,79,51.4,47.8,90.0,90.0,90.0,90.0
1746299057.98265,80,50.9,46.8,90.0,90.0,90.0,90.0
1746299058.0459242,81,50.0,46.9,90.0,90.0,90.0,90.0
1746299058.1163578,82,48.8,46.1,90.0,90.0,90.0,90.0
1746299058.181655,83,46.9,46.0,90.0,90.0,90.0,90.0
1746299058.24914,84,45.4,46.7,90.0,90.0,90.0,90.0
1746299058.31724,85,44.3,47.7,90.0,90.0,90.0,90.0
1746299058.3852239,86,44.6,49.5,90.0,90.0,90.0,90.0
1746299058.4460921,87,45.1,51.4,90.0,90.0,90.0,90.0
1746299058.515923,88,44.7,55.1,90.0,90.0,90.0,90.0
1746299058.581755,89,44.8,58.9,90.0,90.0,90.0,90.0
1746299058.648261,90,44.7,63.5,90.0,90.0,90.0,90.0
1746299058.717987,91,45.9,65.3,90.0,90.0,90.0,90.0
1746299058.786516,92,45.3,63.5,90.0,90.0,90.0,90.0
1746299058.847359,93,45.3,63.9,90.0,90.0,90.0,90.0
1746299058.919567,94,45.8,63.6,90.0,90.0,90.0,90.0
1746299058.984663,95,47.2,63.0,90.0,90.0,90.0,90.0
1746299059.046775,96,47.2,60.5,90.0,90.0,90.0,90.0
1746299059.11901,97,48.0,55.6,90.0,90.0,90.0,90.0
1746299059.184774,98,48.2,52.3,90.0,90.0,90.0,90.0
1746299059.245057,99,46.1,48.1,90.0,90.0,90.0,90.0
1746299059.317119,100,44.2,45.5,90.0,90.0,90.0,90.0
1746299059.391537,101,43.5,45.6,90.0,90.0,90.0,90.0
1746299059.445478,102,44.1,44.9,90.0,90.0,90.0,90.0
1746299059.5164852,103,43.8,44.5,90.0,90.0,90.0,90.0
1746299059.581509,104,44.1,43.5,90.0,90.0,90.0,90.0
1746299059.648073,105,44.1,42.6,90.0,90.0,90.0,90.0
1746299059.7174551,106,44.3,42.5,90.0,90.0,90.0,90.0
1746299059.783607,107,45.4,43.0,90.0,90.0,90.0,90.0
1746299059.8480499,108,46.2,43.5,90.0,90.0,90.0,90.0
1746299059.921206,109,46.6,43.9,90.0,90.0,90.0,90.0
1746299059.9888709,110,47.4,45.4,90.0,90.0,90.0,90.0
1746299060.0502138,111,47.7,47.4,90.0,90.0,90.0,90.0
1746299060.1183019,112,47.6,47.8,90.0,90.0,90.0,90.0
